edge_slice_demand;k_1= (17,12,6);k_2= (16,2,3);k_3= (8,15,6);k_4= (4,17,6);k_5= (3,10,3);k_6= (8,18,6);k_7= (1,12,6);k_8= (3,12,6);k_9= (17,13,6);k_10= (2,10,3);k_11= (5,9,3);k_12= (8,1,3);k_13= (13,12,3);k_14= (4,18,6);k_15= (4,2,6);k_16= (14,7,3);k_17= (12,17,6);k_18= (16,1,3);k_19= (18,8,3);k_20= (18,14,3);k_21= (18,14,6);k_22= (15,2,3);k_23= (8,1,3);k_24= (11,7,6);k_25= (13,12,6);k_26= (3,11,3);k_27= (2,15,3);k_28= (13,11,6);k_29= (14,3,6);k_30= (4,14,3);k_31= (4,14,3);k_32= (15,9,3);k_33= (18,8,3);k_34= (16,15,3);k_35= (17,4,6);k_36= (18,7,6);k_37= (12,10,3);k_38= (7,5,3);k_39= (15,13,6);k_40= (13,3,6);k_41= (15,1,3);k_42= (14,9,3);k_43= (18,15,6);k_44= (12,5,6);k_45= (2,8,4);k_46= (14,6,3);k_47= (14,13,6);k_48= (10,2,3);k_49= (2,10,6);k_50= (13,12,3);
[1,5]; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;
[1,17]; ; ; ;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[2,4]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[2,5]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;
[2,10]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;
[2,16]; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;
