index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS;Routed
1;2;9;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
2;5;11;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
3;17;1;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
4;10;11;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
5;1;15;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
6;10;7;6;40000.000000;21.000000;0.000750;0.000000;0.000000;1
7;10;8;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1
8;12;14;3;100000.000000;13.000000;0.000375;0.000000;0.000000;1
9;4;7;4;20000.000000;16.000000;0.000500;0.000000;0.000000;1
10;2;18;3;40000.000000;15.000000;0.000375;0.000000;0.000000;1

Nb_Served_Demands;10
Nb_Blocked_Demands;0
Nb_Served_Slices;41
Nb_Blocked_Slices;0
