edge_slice_demand;k_1= (3,16,3);k_2= (13,8,3);k_3= (7,17,6);k_4= (16,3,3);k_5= (8,2,4);k_6= (10,15,6);k_7= (4,3,6);k_8= (3,16,3);k_9= (13,18,6);k_10= (5,12,3);k_11= (11,5,6);k_12= (5,15,3);k_13= (18,3,3);k_14= (10,11,6);k_15= (13,10,3);k_16= (9,1,3);k_17= (4,1,3);k_18= (12,1,3);k_19= (13,17,3);k_20= (3,2,3);k_21= (5,16,4);k_22= (11,3,3);k_23= (11,7,6);k_24= (2,13,3);k_25= (13,9,3);k_26= (8,5,6);k_27= (12,1,3);k_28= (8,11,3);k_29= (1,9,4);k_30= (7,10,4);k_31= (18,12,3);k_32= (10,18,4);k_33= (18,5,3);k_34= (16,6,6);k_35= (8,2,3);k_36= (7,9,3);k_37= (15,17,3);k_38= (6,3,6);k_39= (17,6,6);k_40= (1,15,3);k_41= (13,14,6);k_42= (11,12,3);k_43= (11,3,6);k_44= (11,13,6);k_45= (14,9,6);k_46= (7,17,6);k_47= (7,6,6);k_48= (11,13,3);k_49= (5,18,6);k_50= (2,1,4);
[1,5]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1;1;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[1,18]; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[2,9]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,10]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[3,6]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;
