edge_slice_demand;k_1= (17,15,6);k_2= (16,6,6);k_3= (7,10,6);k_4= (12,6,3);k_5= (14,10,6);k_6= (10,12,6);k_7= (5,14,6);k_8= (1,2,6);k_9= (13,8,6);k_10= (7,11,6);k_11= (1,9,6);k_12= (12,8,6);k_13= (3,15,6);k_14= (16,11,6);k_15= (5,9,6);k_16= (7,9,6);k_17= (9,15,6);k_18= (1,17,6);k_19= (7,12,6);k_20= (3,2,6);k_21= (7,2,6);k_22= (6,3,6);k_23= (6,18,6);k_24= (14,17,6);k_25= (1,2,6);k_26= (2,11,6);k_27= (16,2,6);k_28= (17,14,6);k_29= (6,9,6);k_30= (7,13,6);k_31= (7,6,6);k_32= (18,15,6);k_33= (13,10,6);k_34= (6,3,6);k_35= (7,13,6);k_36= (14,17,6);k_37= (5,18,6);k_38= (1,5,6);k_39= (17,7,6);k_40= (6,11,6);k_41= (9,7,6);k_42= (14,15,6);k_43= (7,17,6);k_44= (17,9,6);k_45= (1,2,6);k_46= (5,16,6);k_47= (11,7,6);k_48= (3,18,6);k_49= (14,10,6);k_50= (15,3,6);k_51= (3,15,6);k_52= (16,15,6);k_53= (2,1,6);k_54= (17,11,6);k_55= (7,17,6);k_56= (5,18,6);k_57= (13,4,6);k_58= (9,8,6);k_59= (10,16,6);k_60= (9,2,6);k_61= (4,17,6);k_62= (2,14,6);k_63= (4,8,6);k_64= (3,16,6);k_65= (9,3,6);k_66= (4,2,6);k_67= (11,3,6);k_68= (9,15,6);k_69= (16,15,6);k_70= (1,12,6);
[1,5]; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,14]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,15]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[1,18]; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[2,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;
[2,10]; ; ; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[2,16]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;
