edge_slice_demand;k_1= (10,17,3);k_2= (7,13,6);k_3= (14,12,3);k_4= (1,5,6);k_5= (6,14,3);k_6= (12,1,4);k_7= (11,17,6);k_8= (4,14,4);k_9= (1,13,6);k_10= (11,14,6);k_11= (5,15,6);k_12= (7,15,6);k_13= (7,8,6);k_14= (6,11,6);k_15= (4,17,6);k_16= (17,8,6);k_17= (15,14,6);k_18= (3,12,6);k_19= (15,5,3);k_20= (5,13,6);k_21= (2,11,6);k_22= (13,5,6);k_23= (2,3,3);k_24= (6,8,3);k_25= (13,1,6);k_26= (7,15,6);k_27= (9,17,6);k_28= (6,5,6);k_29= (9,10,3);k_30= (14,9,3);
[1,3]; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[1,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[2,4]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[3,5]; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;
[4,5]; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[4,10]; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1; ;
[5,10]; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1;1;
[5,11]; ; ; ; ;1; ; ; ; ; ; ;1; ;1; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[6,9]; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[7,8]; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ;
[8,9]; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1; ; ;
[8,11]; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ;
[10,11]; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1;
[10,13];1; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ;1; ; ;1; ; ; ; ;1; ; ; ;
[11,12]; ; ; ; ;1;1;1; ; ;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;
[11,13]; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ;1;1; ; ; ; ;
[12,14]; ; ;1; ;1; ;1; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[13,15]; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[13,17];1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ;1; ; ; ;
[14,15]; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,16]; ; ; ; ; ; ;1; ; ; ;1; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[16,17]; ; ; ; ; ; ;1; ; ; ;1; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
 slice allocation ;15;30;27;6;9;28;6;28;24;34;21;24;12;30;12;12;34;18;24;36;6;34;3;15;6;18;6;36;16;12;
