edge_slice_demand;k_1= (1,4,6);k_2= (7,9,6);k_3= (2,4,3);k_4= (1,15,6);k_5= (13,4,6);k_6= (9,13,4);k_7= (8,4,6);k_8= (17,16,3);k_9= (8,17,6);k_10= (2,11,3);k_11= (14,10,6);k_12= (10,15,3);k_13= (12,1,4);k_14= (3,1,3);k_15= (6,15,4);k_16= (11,15,3);k_17= (6,2,3);k_18= (12,17,6);k_19= (4,11,6);k_20= (13,9,4);k_21= (1,2,6);k_22= (7,6,6);k_23= (15,4,6);k_24= (4,1,6);k_25= (17,14,6);k_26= (4,14,6);k_27= (4,10,3);k_28= (11,7,6);k_29= (9,8,6);k_30= (17,13,6);k_31= (17,15,3);k_32= (6,16,3);k_33= (11,2,3);k_34= (7,11,6);k_35= (14,6,6);k_36= (17,7,4);k_37= (14,16,3);k_38= (12,3,4);k_39= (16,15,3);k_40= (3,17,6);k_41= (4,8,4);k_42= (11,2,6);k_43= (15,4,4);k_44= (14,15,3);k_45= (15,17,6);k_46= (17,16,3);k_47= (1,12,4);k_48= (5,17,3);k_49= (12,11,6);k_50= (1,2,3);k_51= (6,3,6);k_52= (14,13,3);k_53= (8,7,6);k_54= (4,2,3);k_55= (1,7,6);k_56= (16,6,3);k_57= (12,4,6);k_58= (6,10,6);k_59= (2,6,3);k_60= (9,6,6);k_61= (16,13,6);k_62= (7,15,4);k_63= (11,1,6);k_64= (15,11,3);k_65= (13,14,3);k_66= (1,9,6);k_67= (9,6,6);k_68= (11,6,6);k_69= (14,1,6);k_70= (15,6,3);k_71= (8,6,3);k_72= (16,2,6);k_73= (13,9,3);k_74= (11,14,6);k_75= (9,8,3);k_76= (13,5,6);k_77= (5,11,3);k_78= (16,6,3);k_79= (16,12,3);k_80= (11,12,6);k_81= (10,7,4);k_82= (3,15,4);k_83= (2,13,3);k_84= (8,15,3);k_85= (12,14,3);k_86= (5,6,6);k_87= (10,5,3);k_88= (11,8,3);k_89= (10,12,3);k_90= (14,4,3);
[1,3];1; ; ;1; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[1,9]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,3]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,4]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[2,5]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;
[3,5];1; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[4,5];1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[4,10]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[5,9]; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ; ;1; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;
[5,10]; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ; ; ; ; ;1; ; ; ; ;1; ; ; ;
